               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.040667,           0.0055885,                   0,              0.9193,             0.80778,             0.87167,             0.43554,            0.042078,           0.0058579,                   0,           0.0087526,           0.0087526,           0.0087526
                 128,            0.040457,           0.0055538,                   0,             0.91981,             0.80983,             0.87071,              0.4355,            0.042017,           0.0058773,                   0,           0.0087427,           0.0087427,           0.0087427
                 129,             0.03985,           0.0055665,                   0,             0.91943,             0.81282,             0.87245,             0.43679,            0.042049,           0.0058742,                   0,           0.0087328,           0.0087328,           0.0087328
                 130,            0.040133,           0.0055954,                   0,              0.9143,             0.81801,              0.8721,             0.43739,            0.042029,           0.0058636,                   0,           0.0087229,           0.0087229,           0.0087229
                 131,            0.040153,           0.0055455,                   0,             0.91742,             0.81566,             0.87193,             0.43778,            0.041947,           0.0058572,                   0,            0.008713,            0.008713,            0.008713
                 132,            0.040408,           0.0058038,                   0,             0.91999,              0.8133,             0.87188,             0.43738,            0.041921,           0.0058574,                   0,           0.0087031,           0.0087031,           0.0087031
                 133,            0.040792,           0.0055027,                   0,             0.91507,             0.81707,              0.8734,              0.4382,            0.041918,           0.0058556,                   0,           0.0086932,           0.0086932,           0.0086932
                 134,            0.040121,           0.0054908,                   0,             0.91564,             0.81737,             0.87443,             0.43763,            0.041904,           0.0058544,                   0,           0.0086833,           0.0086833,           0.0086833
                 135,             0.04041,            0.005651,                   0,             0.91588,             0.82021,             0.87512,             0.43793,            0.041889,           0.0058484,                   0,           0.0086734,           0.0086734,           0.0086734
                 136,            0.039941,           0.0055395,                   0,             0.91297,              0.8246,             0.87398,              0.4382,            0.041876,           0.0058455,                   0,           0.0086635,           0.0086635,           0.0086635
                 137,            0.039732,           0.0056171,                   0,             0.91288,             0.82366,             0.87353,             0.43827,            0.041902,           0.0058425,                   0,           0.0086536,           0.0086536,           0.0086536
                 138,            0.039857,           0.0055593,                   0,             0.91217,             0.82554,             0.87184,             0.43866,            0.041907,           0.0058424,                   0,           0.0086437,           0.0086437,           0.0086437
                 139,            0.039739,           0.0055246,                   0,             0.91649,             0.82397,             0.87288,             0.43863,            0.041922,           0.0058463,                   0,           0.0086338,           0.0086338,           0.0086338
                 140,            0.040306,           0.0056945,                   0,             0.91563,             0.82178,             0.87143,             0.43887,            0.041927,            0.005853,                   0,           0.0086239,           0.0086239,           0.0086239
                 141,            0.039955,           0.0055109,                   0,             0.91349,             0.82169,             0.87211,             0.43795,            0.041926,           0.0058643,                   0,            0.008614,            0.008614,            0.008614
                 142,            0.040525,           0.0055959,                   0,              0.9172,             0.81679,             0.87107,              0.4377,            0.041874,           0.0058571,                   0,           0.0086041,           0.0086041,           0.0086041
                 143,            0.039132,           0.0055991,                   0,             0.91484,             0.81676,             0.87136,             0.43704,            0.041867,            0.005861,                   0,           0.0085942,           0.0085942,           0.0085942
                 144,            0.039632,           0.0053916,                   0,             0.91181,             0.82081,             0.87184,             0.43804,            0.041834,           0.0058623,                   0,           0.0085843,           0.0085843,           0.0085843
                 145,            0.039636,           0.0054588,                   0,             0.91179,              0.8224,             0.87343,             0.43796,            0.041826,           0.0058581,                   0,           0.0085744,           0.0085744,           0.0085744
                 146,            0.039481,           0.0054605,                   0,             0.91248,             0.81895,             0.87256,             0.43794,            0.041822,           0.0058657,                   0,           0.0085645,           0.0085645,           0.0085645
                 147,             0.03959,           0.0055645,                   0,             0.91231,             0.81933,             0.87282,             0.43818,            0.041838,            0.005875,                   0,           0.0085546,           0.0085546,           0.0085546
                 148,            0.039237,           0.0055486,                   0,             0.91188,             0.81927,             0.87285,             0.43912,            0.041829,            0.005875,                   0,           0.0085447,           0.0085447,           0.0085447
                 149,            0.039162,           0.0054911,                   0,             0.91104,             0.82115,             0.87404,             0.43927,            0.041817,           0.0058677,                   0,           0.0085348,           0.0085348,           0.0085348
                 150,            0.039049,           0.0055877,                   0,             0.91372,             0.82209,             0.87653,             0.43949,            0.041825,           0.0058586,                   0,           0.0085249,           0.0085249,           0.0085249
                 151,            0.038963,           0.0055597,                   0,             0.91349,             0.82174,             0.87496,             0.43917,            0.041834,           0.0058487,                   0,            0.008515,            0.008515,            0.008515
                 152,            0.039304,           0.0054449,                   0,             0.91493,             0.82006,             0.87357,             0.43899,            0.041855,           0.0058523,                   0,           0.0085051,           0.0085051,           0.0085051
